Wall time,Step,Value
1521319354.2940302,9567,825.0
1521319779.3371527,9586,625.0
1521319845.45677,9589,4250.0
1521320079.8095508,9600,4175.0
1521320322.8261526,9611,4150.0
1521320536.6480417,9621,4300.0
1521320590.8962474,9623,4125.0
1521320607.0700676,9624,450.0
1521320685.4673433,9627,4325.0
1521321207.6602464,9651,800.0
1521321309.58837,9656,800.0
1521321329.3127913,9657,3775.0
1521321419.3075442,9661,800.0
1521321800.3417768,9680,4225.0
1521322020.32413,9690,4825.0
1521322203.2409866,9698,4125.0
1521322463.4706986,9710,4175.0
1521323259.5359952,9750,4250.0
1521323415.8221736,9759,500.0
1521323444.8845062,9760,4350.0
1521323531.7305477,9766,700.0
1521323566.639411,9768,4275.0
1521323757.371069,9777,4075.0
1521324466.8136249,9812,825.0
1521325013.2685287,9840,4400.0
1521325069.4516416,9843,4100.0
1521325296.3707018,9855,375.0
1521325854.1779587,9883,800.0
1521326334.0891564,9907,4275.0
1521326540.1210532,9917,3850.0
1521327804.9178772,9972,750.0
1521328095.653626,9985,3675.0
1521328324.3042307,9996,475.0
1521328719.5070343,10014,4225.0
1521328801.1944036,10019,800.0
1521329444.996835,10050,4000.0
1521329552.5071325,10055,450.0
1521329576.9024973,10056,4075.0
1521329608.9994059,10058,725.0
1521329858.2906294,10070,3950.0
1521329890.39002,10072,775.0
1521330167.8024075,10084,825.0
1521330387.197636,10094,3875.0
1521330648.6562364,10107,825.0
1521330777.8000543,10112,450.0
1521330791.2608433,10113,675.0
1521331134.7996023,10128,4275.0
1521331260.560067,10134,800.0
1521331484.9700966,10144,4350.0
1521331957.5072641,10168,800.0
1521332310.0812545,10185,4300.0
1521332787.716633,10207,750.0
1521333415.9349704,10238,825.0
1521333571.801517,10245,4250.0
1521333637.5825229,10248,4075.0
1521333812.1991644,10256,550.0
1521334151.6915107,10272,825.0
1521334245.3769207,10276,4375.0
1521334353.191476,10281,525.0
1521334399.7244365,10283,4225.0
1521334436.450938,10285,400.0
1521334498.242556,10288,875.0
1521335296.8815124,10323,450.0
1521335461.3270323,10330,4200.0
1521335830.5462174,10346,4350.0
1521336272.4013836,10366,750.0
1521336857.2472618,10394,675.0
1521336912.2572005,10396,800.0
1521336936.4930236,10397,4075.0
1521336976.7683034,10399,525.0
1521337140.5393639,10405,4325.0
1521337231.7030354,10409,4350.0
1521337333.042332,10414,4325.0
1521337468.285912,10420,4300.0
1521337581.657904,10425,725.0
1521337765.578676,10433,775.0
1521338224.2236521,10454,4325.0
1521338558.576149,10468,4150.0
1521338814.1897366,10479,800.0
1521339034.8435235,10489,4300.0
1521339114.1586561,10493,4325.0
1521339142.3024342,10494,4300.0
1521339766.238289,10522,550.0
1521339992.9896712,10531,3925.0
1521340182.2765388,10539,1375.0
1521340529.9195032,10554,700.0
1521340554.9776642,10555,4425.0
1521340837.419483,10567,4175.0
1521341487.104343,10598,4700.0
1521341691.8321128,10607,875.0
1521341986.0574124,10620,825.0
1521342050.1791904,10623,4150.0
1521342071.0903141,10624,825.0
1521342180.7581942,10629,675.0
1521342374.924895,10638,825.0
1521342558.9643266,10646,3975.0
1521342721.9071262,10653,4800.0
1521342740.0118573,10654,3950.0
1521343128.7179618,10671,4125.0
1521343810.525107,10701,550.0
1521344022.758058,10711,3950.0
1521344791.715054,10748,4300.0
1521344950.75533,10757,475.0
1521344970.2134569,10758,425.0
1521345081.941459,10764,4200.0
1521345387.8959382,10780,500.0
1521345531.6743848,10787,825.0
1521346101.1878304,10815,225.0
1521346116.5680082,10816,700.0
1521346293.4149659,10825,350.0
1521346380.273637,10830,450.0
1521346605.6603968,10841,800.0
1521346792.770754,10850,4425.0
1521347078.299356,10864,4375.0
1521347329.8395638,10875,4050.0
1521347921.992822,10902,3900.0
1521347982.6870205,10905,625.0
1521348188.8053455,10914,4175.0
1521348740.4372184,10939,4175.0
